No	Sayfa Başlığı	URL	Sayfa	DURUM	Not
1	AFLODAY | Çiçekli Bir Gün	https://www.afloday.com/	ANASAYFA	Yenilenecek	Anasayfada yenilenecek içerikler, görselleriyle, tasarımlarıyla hazır.
2	Doğadan Hobi Atölyeleri	https://www.afloday.com/dogadan-hobi-atolyeleri	KURUMSAL HİZMETLER	İPTAL	
3	Doğa Çerçeve Atölyesi (+5 yaş)	https://www.afloday.com/doga-cerceve-atolyesi-5-yas	İPTAL	İPTAL	
4	Minyatür Bahçe Tasarım Atölyesi	https://www.afloday.com/minyatur-bahce-tasarim-atolyesi	İPTAL	İPTAL	Sayfa metni değişecek
5	Afloday	https://www.afloday.com/hakkimizda	HAKKIMIZDA	Yenilenecek	Sayfa metni değişecek
6	Çiçek Çerçeve Tasarım Atölyesi	https://www.afloday.com/cicek-cerceve-tasarim-atolyesi	İPTAL	İPTAL	
7	Doğa Çerçeve Tasarım Atölyesi	https://www.afloday.com/doga-cerceve-tasarim-atolyesi	İPTAL	İPTAL	
8	İnsan Kaynakları	https://www.afloday.com/ik	OK	OK	
9	ELİF ÇELİKKOL DUMAN | Afloday	https://www.afloday.com/elif-celikkol-duman	EKİBİMİZ	OK	
10	Kalemlik Tasarım Atölyesi (+5 yaş)	https://www.afloday.com/kalemlik-tasarim-atolyesi-5-yas	İPTAL	İPTAL	
11	Geleceği Yeşil Tasarla Projesi | Sosyal Sorumluluk	https://www.afloday.com/gelecegi-tasarla	OK	Yenilenecek	Sayfa metni değişecek
12	Sosyal Sorumluluk & İş Danışmanlığı	https://www.afloday.com/sosyal-sorumluluk-is-danismanligi	KURUMSAL HİZMETLER	Yenilenecek	Sayfa metni değişecek
13	Kokedama Tasarım Atölyesi	https://www.afloday.com/kokedama-tasarim-atolyesi	İPTAL	İPTAL	
14	Doğal Tütsü & Herbaryum Tasarım Atölyesi	https://www.afloday.com/dogal-tutsu-herbaryum-tasarim-atolyesi	İPTAL	İPTAL	
15	Doğa Temelli Eğitimlerimiz	https://www.afloday.com/doga-temelli-egitimlerimiz	KURUMSAL HİZMETLER	Yenilenecek	Sayfa metni değişecek
16	Mevsim Kapı Çelengi Tasarımı Atölyesi	https://www.afloday.com/mevsim-kapi-celengi-tasarimi-atolye	İPTAL	İPTAL	
17	Mini Bahçe Atölyesi (+5 yaş)	https://www.afloday.com/mini-bahce-atolyesi-5-yas	İPTAL	İPTAL	
18	Sukulent Aranjman Atölyesi	https://www.afloday.com/sukulent-aranjman-atolyesi	İPTAL	İPTAL	
19	Kavanoz Teraryum Tasarım Atölyesi	https://www.afloday.com/kavanoz-teraryum-tasarim-atolyesi	İPTAL	İPTAL	
20	Taze Çiçek Buket & Aranjman Tasarım Atölyesi	https://www.afloday.com/taze-cicek-buket-aranjman-tasarim-atolyesi	İPTAL	İPTAL	
21	Doğadan Gelişim Atölyeleri	https://www.afloday.com/dogadan-gelisim-atolyeleri	KURUMSAL HİZMETLER	İPTAL	
22	TUĞÇE HAZİNEDAR | Afloday	https://www.afloday.com/tugce-hazinedar	EKİBİMİZ	OK	
23	Mini Kavanoz Teraryum Atölyesi (+3 yaş)	https://www.afloday.com/mini-kavanoz-teraryum-atolyesi-3-yas	İPTAL	İPTAL	
24	DERYA AKYAZICI KALYON | Afloday	https://www.afloday.com/derya-akyazici-kalyon	EKİBİMİZ	OK	
25	CEYLAN KALYON | Afloday	https://www.afloday.com/ceylan-kalyon	EKİBİMİZ	OK	Sayfa metni değişecek
26	Kuş Evi Tasarım Atölyesi (+5 yaş)	https://www.afloday.com/kus-evi-tasarim-atolyesi-5-yas	İPTAL	İPTAL	
27	Atölye Katılımı	https://www.afloday.com/katilim	İPTAL	İPTAL	
28	ZEYNEP ALTUNHAN | Afloday	https://www.afloday.com/zeynep-altunhan	EKİBİMİZ	OK	
29	MUHARREM ÖZDEMİR | Afloday	https://www.afloday.com/muharrem-ozdemir	EKİBİMİZ	OK	
30	İletişim	https://www.afloday.com/iletisim	OK	OK	
31	ALARA APAYDIN SARUHAN | Afloday	https://www.afloday.com/alara-apaydin-saruhan	EKİBİMİZ	OK	
32	Kuru Çiçek Fanus Tasarım Atölyesi	https://www.afloday.com/kuru-cicek-fanus-tasarim-atolyesi	İPTAL	İPTAL	
33	Çiçek Aksesuar Tasarım Atölyesi	https://www.afloday.com/cicek-aksesuar-tasarim-atolyesi	İPTAL	İPTAL	
34	Gülümseyen Yarınlar Projesi | Sosyal Sorumluluk	https://www.afloday.com/gulumseyen-yarinlar-projesi	OK	OK	
	Doğadan Etkinlik Atölye Deneyimleri		KURUMSAL HİZMETLER	Yeni Sayfa	
